time	V(a1)	V(b1)	V(c)	V(cin)	V(w1)	V(w2)	V(w3)	V(w4)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
2.031250029288501e-010	2.234375e-021	2.234375e-021	2.234375e-021	1.000000e+000	2.234375e-021	2.234375e-021	2.234375e-021	2.234375e-021
4.062500058577001e-010	4.468750e-021	4.468750e-021	-6.159566e-009	1.000000e+000	-6.093645e-009	-6.093645e-009	4.468750e-021	4.468750e-021
8.125000117154002e-010	8.937500e-021	8.937500e-021	-3.219716e-008	1.000000e+000	-3.174686e-008	-3.174686e-008	8.937500e-021	8.937500e-021
1.000000000000000e-009	1.100000e-020	1.100000e-020	-4.010013e-008	1.000000e+000	-3.936194e-008	-3.936194e-008	1.100000e-020	1.100000e-020
5.000000000000000e-005	5.500000e-016	5.500000e-016	-4.009998e-008	1.000000e+000	-3.936179e-008	-3.936179e-008	5.500000e-016	5.500000e-016
5.000010000000000e-005	5.500011e-016	5.500011e-016	-3.818708e-008	1.000000e+000	-3.788220e-008	-3.788220e-008	5.500011e-016	5.500011e-016
5.000030000000000e-005	5.500033e-016	5.500033e-016	-3.577446e-008	1.000000e+000	-3.582807e-008	-3.582807e-008	-5.899189e-009	-5.899189e-009
5.000070000000000e-005	5.500077e-016	5.500077e-016	-3.375490e-008	1.000000e+000	-3.363020e-008	-3.363020e-008	-2.894398e-008	-2.894398e-008
5.000100000000000e-005	5.500110e-016	5.500110e-016	-3.325584e-008	1.000000e+000	-3.282601e-008	-3.282601e-008	-3.936245e-008	-3.936245e-008
1.000000000000000e-004	1.100000e-015	1.100000e-015	-3.325584e-008	1.000000e+000	-3.282601e-008	-3.282601e-008	-3.936230e-008	-3.936230e-008
1.000001000000000e-004	1.100001e-015	1.100001e-015	-3.325584e-008	1.000000e+000	-3.282601e-008	-3.282601e-008	-3.764928e-008	-3.789224e-008
1.000003000000000e-004	1.100003e-015	1.100003e-015	-3.325584e-008	1.000000e+000	-3.282601e-008	-3.282601e-008	-3.548120e-008	-3.584321e-008
1.000007000000000e-004	1.100008e-015	8.319015e-010	-3.325584e-008	1.000000e+000	2.899697e-008	-3.282601e-008	-3.353111e-008	-3.349673e-008
1.000008229558715e-004	7.667928e-009	2.700136e-008	-3.325584e-008	1.000000e+000	3.725815e-007	-3.282601e-008	-3.333875e-008	-3.315907e-008
1.000008939481762e-004	4.488427e-008	1.159182e-007	-3.325584e-008	1.000000e+000	1.230611e-006	-3.282601e-008	-3.332653e-008	-3.312003e-008
1.000009298132730e-004	1.414988e-007	2.697053e-007	-3.325584e-008	1.000000e+000	2.391471e-006	-3.282601e-008	-3.114849e-008	-3.312003e-008
1.000009664784904e-004	3.732762e-007	5.758465e-007	-3.325584e-008	1.000000e+000	4.432897e-006	-3.282601e-008	1.012814e-008	-3.312003e-008
1.000009798376893e-004	5.221031e-007	7.472001e-007	-3.325584e-008	1.000000e+000	5.480874e-006	-3.282601e-008	1.798362e-007	-3.312003e-008
1.000010000000000e-004	8.548244e-007	1.098142e-006	-3.325584e-008	1.000000e+000	7.509019e-006	-3.282601e-008	1.142695e-006	-3.312003e-008
1.000234773177290e-004	4.728674e-004	4.731131e-004	-3.325584e-008	1.000000e+000	2.640482e-003	-3.282601e-008	2.634123e-003	-3.312003e-008
1.000459546354580e-004	9.444548e-004	9.447029e-004	-3.325584e-008	1.000000e+000	5.272112e-003	-3.282601e-008	5.265761e-003	-3.312003e-008
1.000684319531871e-004	1.415617e-003	1.415868e-003	-3.325584e-008	1.000000e+000	7.902398e-003	-3.282601e-008	7.896055e-003	-3.312003e-008
1.000909092709161e-004	1.886354e-003	1.886607e-003	-3.325584e-008	1.000000e+000	1.053134e-002	-3.282601e-008	1.052501e-002	-3.312003e-008
1.001133865886451e-004	2.356666e-003	2.356921e-003	-3.325584e-008	1.000000e+000	1.315894e-002	-3.282601e-008	1.315261e-002	-3.312003e-008
1.001358639063741e-004	2.826553e-003	2.826811e-003	-3.325584e-008	1.000000e+000	1.578520e-002	-3.282601e-008	1.577888e-002	-3.312003e-008
1.001583412241031e-004	3.296015e-003	3.296275e-003	-3.325584e-008	1.000000e+000	1.841011e-002	-3.282601e-008	1.840380e-002	-3.312003e-008
1.003156836486337e-004	6.525403e-003	6.525681e-003	-3.325584e-008	1.000000e+000	3.660454e-002	-3.282601e-008	3.659828e-002	-3.312003e-008
1.006303684976949e-004	1.275799e-002	1.275830e-002	-3.325584e-008	1.000000e+000	7.226983e-002	-3.282601e-008	7.226368e-002	-3.312003e-008
1.012597381958172e-004	2.457452e-002	2.457491e-002	-3.325584e-008	1.000000e+000	1.414987e-001	-3.282601e-008	1.414928e-001	-3.312003e-008
1.018945038208172e-004	3.565403e-002	3.565450e-002	-3.325584e-008	1.000000e+000	2.085552e-001	-3.282601e-008	2.085496e-001	-3.312003e-008
1.025292694458172e-004	4.575499e-002	4.575555e-002	-3.325584e-008	1.000000e+000	2.723086e-001	-3.282601e-008	2.723033e-001	-3.312003e-008
1.031640350708172e-004	5.483521e-002	5.483586e-002	-3.325584e-008	1.000000e+000	3.325060e-001	-3.282601e-008	3.325010e-001	-3.312003e-008
1.037988006958172e-004	6.286858e-002	6.286931e-002	-3.325584e-008	1.000000e+000	3.889275e-001	-3.282601e-008	3.889228e-001	-3.312003e-008
1.044335663208172e-004	6.987426e-002	6.987509e-002	-3.325584e-008	1.000000e+000	4.414864e-001	-3.282601e-008	4.414820e-001	-3.312003e-008
1.050683319458172e-004	7.585847e-002	7.585938e-002	-3.325584e-008	1.000000e+000	4.900040e-001	-3.282601e-008	4.900000e-001	-3.312003e-008
1.057030975708172e-004	8.083865e-002	8.083966e-002	-3.325584e-008	1.000000e+000	5.343264e-001	-3.282601e-008	5.343228e-001	-3.312003e-008
1.063378631958172e-004	8.490910e-002	8.491018e-002	-3.325584e-008	1.000000e+000	5.745954e-001	-3.282601e-008	5.745922e-001	-3.312003e-008
1.069726288208171e-004	8.816925e-002	8.817040e-002	-3.325584e-008	1.000000e+000	6.109539e-001	-3.282601e-008	6.109511e-001	-3.312003e-008
1.076073944458171e-004	9.069008e-002	9.069129e-002	-3.325584e-008	1.000000e+000	6.434096e-001	-3.282601e-008	6.434071e-001	-3.312003e-008
1.082421600708171e-004	9.256079e-002	9.256206e-002	-3.325584e-008	1.000000e+000	6.720554e-001	-3.282601e-008	6.720532e-001	-3.312003e-008
1.088769256958171e-004	9.389630e-002	9.389761e-002	-3.325584e-008	1.000000e+000	6.971536e-001	-3.282601e-008	6.971517e-001	-3.312003e-008
1.095116913208171e-004	9.481464e-002	9.481598e-002	-3.325584e-008	1.000000e+000	7.190454e-001	-3.282601e-008	7.190438e-001	-3.312003e-008
1.101464569458171e-004	9.541815e-002	9.541951e-002	-3.325584e-008	1.000000e+000	7.380587e-001	-3.282601e-008	7.380573e-001	-3.312003e-008
1.114159881958171e-004	9.601618e-002	9.601757e-002	-3.325584e-008	1.000000e+000	7.688161e-001	-3.282601e-008	7.688151e-001	-3.312003e-008
1.126855194458171e-004	9.619530e-002	9.619670e-002	-3.325584e-008	1.000000e+000	7.918961e-001	-3.282601e-008	7.918953e-001	-3.312003e-008
1.139550506958171e-004	9.622900e-002	9.623041e-002	-3.325584e-008	1.000000e+000	8.092953e-001	-3.282601e-008	8.092947e-001	-3.312003e-008
1.152245819458171e-004	9.622978e-002	9.623119e-002	-3.325584e-008	1.000000e+000	8.223347e-001	-3.282601e-008	8.223343e-001	-3.312003e-008
1.171288788208171e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.366159e-001	-3.282601e-008	8.366156e-001	-3.312003e-008
1.183984100708171e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.436198e-001	-3.282601e-008	8.436195e-001	-3.312003e-008
1.191238564993885e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.469015e-001	-3.282601e-008	8.469013e-001	-3.312003e-008
1.198493029279600e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.499215e-001	-3.282601e-008	8.499213e-001	-3.312003e-008
1.205747493565314e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.526797e-001	-3.282601e-008	8.526795e-001	-3.312003e-008
1.213001957851028e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.551761e-001	-3.282601e-008	8.551760e-001	-3.312003e-008
1.220256422136743e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.574108e-001	-3.282601e-008	8.574106e-001	-3.312003e-008
1.227510886422457e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.593836e-001	-3.282601e-008	8.593835e-001	-3.312003e-008
1.234765350708171e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.610947e-001	-3.282601e-008	8.610946e-001	-3.312003e-008
1.240206198922457e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.623314e-001	-3.282601e-008	8.623313e-001	-3.312003e-008
1.245647047136743e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.635129e-001	-3.282601e-008	8.635128e-001	-3.312003e-008
1.251087895351029e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.646392e-001	-3.282601e-008	8.646391e-001	-3.312003e-008
1.256528743565315e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.657103e-001	-3.282601e-008	8.657102e-001	-3.312003e-008
1.261969591779600e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.667262e-001	-3.282601e-008	8.667261e-001	-3.312003e-008
1.267410439993886e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.676869e-001	-3.282601e-008	8.676868e-001	-3.312003e-008
1.272851288208172e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.685924e-001	-3.282601e-008	8.685923e-001	-3.312003e-008
1.279198944458172e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.696208e-001	-3.282601e-008	8.696207e-001	-3.312003e-008
1.285546600708172e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.705912e-001	-3.282601e-008	8.705910e-001	-3.312003e-008
1.291894256958172e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.714980e-001	-3.282601e-008	8.714979e-001	-3.312003e-008
1.298241913208172e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.723469e-001	-3.282601e-008	8.723468e-001	-3.312003e-008
1.355370819458174e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.780998e-001	-3.282601e-008	8.780997e-001	-3.312003e-008
1.365345707851031e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.788834e-001	-3.282601e-008	8.788833e-001	-3.312003e-008
1.375320596243888e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.796265e-001	-3.282601e-008	8.796264e-001	-3.312003e-008
1.385295484636745e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.803293e-001	-3.282601e-008	8.803292e-001	-3.312002e-008
1.395270373029603e-004	9.622955e-002	9.623096e-002	-3.325584e-008	1.000000e+000	8.809916e-001	-3.282601e-008	8.809915e-001	-3.312002e-008
